Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781592028,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781592029,100,,Aggregated,0.000000,0.000000,960,960,970,970,970,970,970,970,970,970,970,4,0,910,920.0577749998047,841.4486000001489,966.0711999968044,32657.0
1781592030,150,,Aggregated,0.000000,0.000000,1400,1500,1700,1700,1900,1900,1900,1900,1900,1900,1900,42,0,1400,1272.6273952383574,5.670899998222012,1945.4898000003595,28769.5
1781592031,200,,Aggregated,1.000000,0.000000,1600,1800,1900,2000,2200,2300,2300,2400,2400,2400,2400,84,0,1600,1433.6764357144386,5.670899998222012,2377.1964000006847,27992.0
1781592032,250,,Aggregated,17.000000,0.000000,1800,2000,2200,2300,2500,2600,2800,2800,2800,2800,2800,122,0,1800,1617.9415426230678,5.670899998222012,2846.472499997617,27839.049180327867
1781592033,300,,Aggregated,25.333333,0.000000,2000,2200,2400,2400,2700,2800,2900,2900,3000,3000,3000,158,0,2000,1746.9634164557003,5.670899998222012,3010.7344999996712,27903.42405063291
1781592034,350,,Aggregated,29.500000,0.000000,2100,2500,2700,2800,3100,3300,4400,4400,4500,4500,4500,202,2,2100,1983.2204980198323,5.670899998222012,4466.8073000029835,27638.48514851485
1781592035,400,,Aggregated,30.400000,0.000000,2300,2700,3000,3100,3500,3900,4400,4400,4500,4500,4500,243,2,2300,2144.631648559685,5.670899998222012,4466.8073000029835,27544.551440329218
1781592036,450,,Aggregated,32.500000,0.333333,2400,3000,3400,3600,4000,5500,5800,5900,5900,5900,5900,293,22,2400,2443.253679863479,5.670899998222012,5935.636099999101,25302.85324232082
1781592037,500,,Aggregated,33.285714,0.285714,2600,3300,3700,4000,4600,5500,5900,6700,6700,6700,6700,336,26,2600,2620.1246889881018,5.670899998222012,6729.92819999854,25078.88988095238
1781592038,550,,Aggregated,35.875000,2.750000,2700,3500,4000,4300,4800,5500,5800,6700,6700,6700,6700,377,26,2700,2713.123170557036,5.670899998222012,6729.92819999854,25036.854111405835
1781592039,600,,Aggregated,36.666667,2.888889,3000,4000,4500,4800,5400,7600,8100,8200,8300,8300,8300,446,61,2900,3066.3000280269016,5.503199998202035,8283.515800001624,23296.905829596413
1781592040,650,,Aggregated,36.800000,2.600000,3100,4200,4700,5000,5700,6700,8000,8200,8300,8300,8300,496,69,3100,3140.1085173387064,5.503199998202035,8283.515800001624,23124.207661290322
1781592041,700,,Aggregated,43.500000,6.100000,3300,4500,5100,5400,6000,8200,8800,9000,9000,9000,9000,561,99,3300,3402.8800213903755,5.435000002762536,9009.36400000137,21906.727272727272
1781592042,750,,Aggregated,45.100000,6.700000,3500,4800,5400,5700,6700,8300,9000,9300,9900,9900,9900,610,111,3500,3578.3124593442694,5.435000002762536,9865.3770000019,21809.281967213115
1781592043,800,,Aggregated,47.300000,9.800000,3700,5000,5700,6000,6800,8300,9000,9600,11000,11000,11000,662,121,3600,3694.9036577039205,5.435000002762536,10537.366000000475,21776.11329305136
1781592044,850,,Aggregated,48.300000,10.800000,4000,5300,6100,6500,7800,9000,11000,11000,11000,11000,11000,730,156,4000,4055.5860582191804,5.435000002762536,11312.429199999315,20961.157534246577
1781592045,900,,Aggregated,50.000000,12.100000,4100,5500,6300,6800,7900,9000,11000,11000,12000,12000,12000,785,162,4100,4139.21601617833,5.435000002762536,12015.422300002683,20908.217834394905
1781592046,950,,Aggregated,52.000000,15.100000,4400,5800,6700,7200,8100,11000,12000,13000,13000,13000,13000,842,182,4400,4355.066728147249,5.435000002762536,12809.85039999723,20542.76247030879
1781592047,1000,,Aggregated,53.900000,15.800000,4700,6300,7200,7700,9900,12000,12000,13000,13000,13000,13000,921,241,4700,4792.579480781719,5.435000002762536,12809.85039999723,19323.953311617806
1781592048,1000,,Aggregated,52.900000,14.300000,5100,6700,7700,8300,11000,12000,12000,13000,13000,13000,13000,1030,333,5100,5232.476733398007,5.435000002762536,12809.85039999723,17621.03009708738
1781592049,1000,,Aggregated,57.200000,19.800000,5100,7000,7900,8900,11000,12000,12000,13000,13000,13000,13000,1185,459,5100,5385.371710970415,5.435000002762536,12809.85039999723,15663.95358649789
1781592050,1000,,Aggregated,63.000000,28.000000,5300,7400,8700,9900,11000,12000,12000,13000,13000,13000,13000,1307,548,5300,5531.906772379436,5.435000002762536,12809.85039999723,14591.420811017597
1781592051,1000,,Aggregated,70.800000,36.700000,5400,7600,9000,9900,11000,12000,12000,13000,13000,13000,13000,1439,645,5400,5597.711061500995,5.435000002762536,12809.85039999723,13792.32383599722
1781592052,1000,,Aggregated,79.400000,46.700000,5600,7900,8900,9800,11000,12000,12000,13000,13000,13000,13000,1595,763,5600,5661.915673667671,5.435000002762536,12809.85039999723,12834.578056426331
1781592053,1000,,Aggregated,85.900000,53.100000,5300,7800,8900,9700,11000,12000,12000,12000,13000,13000,13000,1718,841,5300,5550.426807392295,5.306099999870639,12809.85039999723,12379.338183934808
1781592054,1000,,Aggregated,93.900000,60.900000,5100,7700,9000,9900,11000,12000,12000,12000,13000,13000,13000,1835,910,5100,5512.15870937327,5.306099999870639,12809.85039999723,12109.068664850136
1781592055,1000,,Aggregated,101.300000,68.200000,4400,7500,8700,9700,11000,12000,12000,13000,13000,13000,13000,2004,1049,4400,5406.945136576819,5.306099999870639,12867.638200001238,11268.290918163673
1781592056,1000,,Aggregated,108.500000,74.000000,4100,7400,8700,9700,11000,12000,13000,13000,14000,14000,14000,2145,1153,4100,5394.632189603707,5.306099999870639,13884.115399996517,10880.33006993007
1781592057,1000,,Aggregated,118.000000,84.900000,3900,6900,8400,9600,11000,12000,13000,13000,14000,14000,14000,2334,1311,3900,5257.060232219346,5.306099999870639,13884.115399996517,10188.318766066837
1781592058,1000,,Aggregated,128.000000,95.300000,3900,6700,8400,9600,11000,12000,13000,14000,15000,15000,15000,2493,1420,3900,5229.226622904111,5.306099999870639,14964.05600000071,9880.336141195346
1781592059,1000,,Aggregated,137.000000,103.400000,3800,6300,8200,9500,11000,12000,13000,15000,15000,15000,15000,2664,1552,3800,5109.379118656146,5.306099999870639,15138.631699999678,9452.746996996997
1781592060,1000,,Aggregated,143.800000,107.400000,3800,6100,8200,9500,12000,12000,15000,15000,16000,16000,16000,2811,1637,3800,5066.450925791528,5.306099999870639,15771.275999999489,9288.32479544646
1781592061,1000,,Aggregated,148.700000,110.000000,3700,5700,8000,9300,12000,12000,15000,15000,16000,16000,16000,2975,1768,3700,4969.748102420163,5.242200000793673,16090.116400002444,8906.369075630251
1781592062,1000,,Aggregated,149.100000,108.400000,3600,5400,7900,9100,12000,13000,15000,15000,17000,17000,17000,3149,1902,3600,4926.98140060337,5.242200000793673,16848.83699999773,8619.542394410924
1781592063,1000,,Aggregated,152.700000,111.400000,3400,4800,7700,8800,11000,13000,15000,16000,17000,17000,17000,3333,2062,3400,4825.739649774981,5.242200000793673,16994.663699999364,8228.913891389138
1781592064,1000,,Aggregated,154.100000,112.600000,3300,4600,7600,8800,12000,13000,15000,16000,18000,18000,18000,3473,2161,3300,4790.925272646127,5.242200000793673,18064.287799999875,8092.20702562626
1781592065,1000,,Aggregated,162.600000,122.300000,3200,4300,7400,8700,12000,13000,16000,17000,19000,19000,19000,3627,2273,3200,4740.08465925007,5.242200000793673,19109.824399998615,7906.1505376344085
1781592066,1000,,Aggregated,164.100000,124.700000,3100,4100,7300,8700,12000,14000,16000,18000,19000,19000,19000,3779,2374,3100,4724.74381299286,5.242200000793673,19109.824399998615,7794.149245832231
1781592067,1000,,Aggregated,164.300000,124.000000,3100,4000,7200,8600,12000,15000,17000,18000,19000,20000,20000,3983,2513,3100,4734.156638563901,5.242200000793673,19819.183100000373,7501.55561134823
1781592068,1000,,Aggregated,162.300000,120.400000,3100,3900,6900,8400,12000,15000,17000,18000,21000,21000,21000,4167,2660,3100,4685.9463540196875,5.242200000793673,20673.90019999948,7258.253899688025
